state,code,procedure,n_hospitals,median_price,lowest_price,highest_price,shoppable_volume,total_volume,conservative_per_patient,conservative_total,aspirational_per_patient,aspirational_total
AK,43239,Upper GI endoscopy,4,4089.0,1171.0,6853.0,2236,3727,2918.0,6525562.0,5682.0,21177519.0
AK,45378,"Colonoscopy, diagnostic",4,1999.0,2112.0,5377.0,587,783,0.0,0.0,3265.0,2556797.0
AK,47562,Lap. cholecystectomy,2,14986.0,6039.0,23933.0,4,12,8947.0,42947.0,17895.0,214734.0
AK,70553,Brain MRI w/ contrast,2,3312.0,2918.0,3707.0,1896,2710,395.0,748611.0,789.0,2138889.0
AK,74177,CT scan abdomen,5,2403.0,1513.0,2403.0,5957,8511,890.0,5303200.0,890.0,7576000.0
AL,27130,Hip replacement,8,15735.0,14154.0,38476.0,950,1188,1581.0,1502245.0,24321.0,28893752.0
AL,27447,Knee replacement,8,14782.0,14154.0,37446.0,1009,1188,627.0,633647.0,23292.0,27670896.0
AL,29827,Shoulder arthroscopy,9,8636.0,6856.0,25126.0,1104,1841,1779.0,1965566.0,18270.0,33634622.0
AL,43239,Upper GI endoscopy,13,2320.0,828.0,4572.0,13298,22164,1492.0,19838419.0,3744.0,82979396.0
AL,45378,"Colonoscopy, diagnostic",12,1362.0,745.0,3120.0,3900,5200,617.0,2406858.0,2375.0,12347960.0
AL,47562,Lap. cholecystectomy,10,6703.0,6112.0,16856.0,75,188,591.0,44454.0,10744.0,2019873.0
AL,70553,Brain MRI w/ contrast,12,1165.0,559.0,2469.0,10124,14463,606.0,6135484.0,1910.0,27622805.0
AL,74177,CT scan abdomen,12,1499.0,391.0,1490.0,30830,44043,1108.0,34150117.0,1099.0,48388439.0
AR,27130,Hip replacement,5,15641.0,14027.0,15641.0,409,512,1614.0,661011.0,1614.0,826264.0
AR,27447,Knee replacement,7,13103.0,12224.0,13052.0,435,512,880.0,382770.0,828.0,424180.0
AR,29827,Shoulder arthroscopy,6,7678.0,5837.0,3592.0,634,1057,1841.0,1167613.0,0.0,0.0
AR,43239,Upper GI endoscopy,11,1063.0,811.0,2383.0,10579,17632,252.0,2666583.0,1571.0,27706096.0
AR,45378,"Colonoscopy, diagnostic",11,1043.0,837.0,2026.0,2643,3524,206.0,544171.0,1189.0,4189161.0
AR,47562,Lap. cholecystectomy,9,5088.0,5028.0,5231.0,72,181,60.0,4364.0,204.0,36874.0
AR,70553,Brain MRI w/ contrast,11,1000.0,548.0,143.0,7028,10040,451.0,3172028.0,0.0,0.0
AR,74177,CT scan abdomen,11,723.0,500.0,2154.0,21765,31094,223.0,4854209.0,1654.0,51421154.0
AZ,27130,Hip replacement,10,12288.0,11602.0,42675.0,1197,1497,686.0,821562.0,31073.0,46516727.0
AZ,27447,Knee replacement,15,8982.0,1364.0,41159.0,1272,1497,7618.0,9693404.0,39795.0,59573589.0
AZ,29827,Shoulder arthroscopy,15,4940.0,1077.0,21141.0,1447,2412,3864.0,5591645.0,20065.0,48396232.0
AZ,43239,Upper GI endoscopy,18,1709.0,2444.0,7092.0,21454,35758,0.0,0.0,4648.0,166200490.0
AZ,45378,"Colonoscopy, diagnostic",19,1244.0,221.0,5121.0,3920,5227,1022.0,4008394.0,4899.0,25608340.0
AZ,47562,Lap. cholecystectomy,18,5226.0,663.0,16520.0,196,492,4563.0,897923.0,15856.0,7801232.0
AZ,70553,Brain MRI w/ contrast,14,1094.0,618.0,2689.0,14725,21036,476.0,7012979.0,2071.0,43567840.0
AZ,74177,CT scan abdomen,14,713.0,480.0,2710.0,44718,63883,233.0,10429936.0,2229.0,142426315.0
CA,27130,Hip replacement,22,11446.0,1182.0,11635.0,6260,7825,10264.0,64250387.0,10453.0,81791768.0
CA,27447,Knee replacement,32,11240.0,5280.0,11635.0,6651,7825,5960.0,39640421.0,6355.0,49725657.0
